"No.","Time","Source","Destination","Protocol","Length","Info"
"5882","12.677495","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5915","12.759466","104.198.218.190","10.1.10.11","TLSv1.2","398","Application Data"
"5921","12.767532","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5941","12.811073","104.198.218.190","10.1.10.11","TLSv1.2","142","Application Data"
"5969","12.849120","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6018","12.937344","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6063","13.015047","104.198.218.190","10.1.10.11","TLSv1.2","398","Application Data"
"6069","13.019204","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6100","13.063702","104.198.218.190","10.1.10.11","TLSv1.2","145","Application Data"
"6136","13.107280","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6152","13.140405","104.198.218.190","10.1.10.11","TLSv1.2","486","Application Data, Application Data"
"6183","13.187737","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6191","13.214785","104.198.218.190","10.1.10.11","TLSv1.2","925","Application Data, Application Data, Application Data, Application Data"
"6237","13.280371","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6272","13.357657","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6276","13.368448","104.198.218.190","10.1.10.11","TLSv1.2","425","Application Data"
"6315","13.434218","104.198.218.190","10.1.10.11","TLSv1.2","122","Application Data"
"6329","13.448728","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6375","13.527353","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6422","13.620013","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6475","13.697488","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6530","13.792076","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6535","13.808636","104.198.218.190","10.1.10.11","TLSv1.2","432","Application Data"
"6591","13.877107","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6640","13.958166","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6677","14.047769","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6768","14.161017","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6802","14.217330","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6867","14.301108","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6927","14.388150","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6967","14.467410","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7011","14.558221","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7035","14.637828","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7076","14.718008","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7120","14.798943","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7160","14.888129","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7207","14.969742","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7251","15.057739","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7301","15.148385","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7327","15.199896","104.198.218.190","10.1.10.11","TLSv1.2","432","Application Data"
"7347","15.228377","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7360","15.272768","104.198.218.190","10.1.10.11","TLSv1.2","121","Application Data"
"7389","15.321093","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7406","15.352776","104.198.218.190","10.1.10.11","TLSv1.2","432","Application Data"
"7436","15.398960","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7445","15.422239","104.198.218.190","10.1.10.11","TLSv1.2","570","Application Data, Application Data, Application Data"
"7468","15.489247","104.198.218.190","10.1.10.11","TLSv1.2","503","Application Data, Application Data"
"7479","15.492513","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7506","15.567998","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7513","15.588071","10.1.10.11","104.198.218.190","TLSv1.2","89","Application Data"
"7540","15.632846","104.198.218.190","10.1.10.11","TLSv1.2","85","Application Data"
